frame,left_ankle_x,left_ankle_y,left_knee_x,left_knee_y,left_hip_x,left_hip_y,target
1.0,0.3740354180335998,0.7434290647506714,0.4212918281555176,0.610626220703125,0.5126305222511292,0.4953436255455017,1
2.0,0.3786434233188629,0.7426795959472656,0.4212305247783661,0.6107813119888306,0.5115879774093628,0.4949707388877868,1
3.0,0.3911243975162506,0.7428112030029297,0.421533465385437,0.6125273108482361,0.5115480422973633,0.4949713349342346,1
4.0,0.4042535424232483,0.7442740797996521,0.4232624173164367,0.6150180697441101,0.5111298561096191,0.4949679970741272,1
5.0,0.4161333441734314,0.7471102476119995,0.4260219037532806,0.6190097332000732,0.5111351013183594,0.4952479898929596,1
6.0,0.4284443855285644,0.7497320175170898,0.4281066358089447,0.6224668025970459,0.5108141899108887,0.4952868819236755,1
7.0,0.442921370267868,0.7495831251144409,0.4292348325252533,0.6218992471694946,0.5108153820037842,0.495343267917633,1
8.0,0.4550948143005371,0.7494576573371887,0.4303602874279022,0.6225929260253906,0.5111138820648193,0.4964777827262878,1
9.0,0.4723780453205108,0.7507629990577698,0.4304730594158172,0.622877299785614,0.5111332535743713,0.4974853098392486,1
10.0,0.4894838631153106,0.7505339980125427,0.4335403442382812,0.622947096824646,0.5111410617828369,0.4979449808597564,1
11.0,0.5029570460319519,0.7514315843582153,0.4381647706031799,0.6240749359130859,0.5115686058998108,0.4987031817436218,1
12.0,0.5191112756729126,0.7529577016830444,0.4427296817302704,0.6252453923225403,0.5114738941192627,0.501285970211029,1
13.0,0.5333482623100281,0.7528104186058044,0.4451718628406524,0.6258291602134705,0.5122551321983337,0.5045979022979736,1
14.0,0.5466883182525635,0.7524455189704895,0.4446210563182831,0.6270195245742798,0.5156360864639282,0.5084606409072876,1
15.0,0.5677067041397095,0.7523979544639587,0.4549675285816192,0.6307771801948547,0.5174189209938049,0.5128744840621948,1
16.0,0.58475661277771,0.7534711360931396,0.4657115638256073,0.6337708234786987,0.5189812779426575,0.5122417211532593,1
17.0,0.5995153784751892,0.7535936832427979,0.4681615233421325,0.6333253383636475,0.5247184038162231,0.5117804408073425,1
18.0,0.5964120626449585,0.6989802122116089,0.4609451591968536,0.6326771974563599,0.5241098999977112,0.5114676356315613,1
19.0,0.6200807690620422,0.7367091774940491,0.4941699206829071,0.6332776546478271,0.5281406044960022,0.5130017995834351,1
20.0,0.6367713212966919,0.7459065914154053,0.5193387269973755,0.6336256265640259,0.5328201055526733,0.5124350786209106,1
21.0,0.6529099941253662,0.7480970025062561,0.5467475652694702,0.6359100341796875,0.5340479612350464,0.512140691280365,1
22.0,0.6663487553596497,0.7480785846710205,0.565050482749939,0.6381381154060364,0.5413175225257874,0.512266993522644,1
23.0,0.679189920425415,0.7464313507080078,0.5784675478935242,0.6382534503936768,0.5469198226928711,0.5123676061630249,1
24.0,0.6883959174156189,0.7455229163169861,0.5861254930496216,0.6379326581954956,0.5476799607276917,0.5122455954551697,1
